date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:01	179748/179748	---M-Z	200	added ('OK')	text/html	etag:240803699f6b31397d999b7f43ee2586	http://trystack.mediumra.re/	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/index.html	(from )
22:59:02	70/70	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202018%2017:29:03%20GMT	http://trystack.mediumra.re/robots.txt		(from )
22:59:02	88774/88774	---M-Z	200	added ('OK')	text/css	etag:8ba9ecd5d924393e37236d9a28da9927	http://trystack.mediumra.re/css/bootstrap.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/bootstrap.css	(from http://trystack.mediumra.re/)
22:59:02	3082/3082	---M-Z	200	added ('OK')	text/css	etag:6406d626f8bfc1e6815698bfecf9a2f8	http://trystack.mediumra.re/css/stack-interface.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/stack-interface.css	(from http://trystack.mediumra.re/)
22:59:03	9283/9283	---M-Z	200	added ('OK')	text/css	etag:b23fff7d228bbe8796ad8b3d280e3401	http://trystack.mediumra.re/css/socicon.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/socicon.css	(from http://trystack.mediumra.re/)
22:59:03	3004/3004	---M-Z	200	added ('OK')	text/css	etag:149857608f0aa4ab220a19d20ceba4f0	http://trystack.mediumra.re/css/iconsmind.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/iconsmind.css	(from http://trystack.mediumra.re/)
22:59:03	196470/196470	---M-Z	200	added ('OK')	text/css	etag:206f6bfd1d2f5eb2e22df5c3c88105ad	http://trystack.mediumra.re/css/theme.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/theme.css	(from http://trystack.mediumra.re/)
22:59:04	179748/179748	---M-Z	200	added ('OK')	text/html	etag:240803699f6b31397d999b7f43ee2586	http://trystack.mediumra.re/index.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/index-2.html	(from http://trystack.mediumra.re/)
22:59:05	4163/4163	---M--	200	added ('OK')	image/png	etag:8c28291528a2ee56320939e76b5a577b	http://trystack.mediumra.re/img/logo-dark.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/logo-dark.png	(from http://trystack.mediumra.re/)
22:59:05	4247/4247	---M--	200	added ('OK')	image/png	etag:498e3ecbd027d27c34c7b9a934ea7170	http://trystack.mediumra.re/img/logo-light.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/logo-light.png	(from http://trystack.mediumra.re/)
22:59:06	159808/159808	---M-Z	200	added ('OK')	text/html	etag:43b10759fe9e8985ed370be08d753514	http://trystack.mediumra.re/home-accommodation.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-accommodation.html	(from http://trystack.mediumra.re/)
22:59:06	143547/143547	---M-Z	200	added ('OK')	text/html	etag:d74e3d70ecf1a663b1fbf12edb9baef9	http://trystack.mediumra.re/home-construction.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-construction.html	(from http://trystack.mediumra.re/)
22:59:07	114982/114982	---M-Z	200	added ('OK')	text/html	etag:f72c383d23b4ee7131e60e351080a8c6	http://trystack.mediumra.re/home-coworking.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-coworking.html	(from http://trystack.mediumra.re/)
22:59:08	18044/18044	---M-Z	200	added ('OK')	text/html	etag:466a85926abc90995a22582119929f4c	http://trystack.mediumra.re/home-drone-photography.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-drone-photography.html	(from http://trystack.mediumra.re/)
22:59:08	48419/48419	---M--	200	added ('OK')	image/jpeg	etag:3950bd7f59b0b36e939e4465b08f5e4a	http://trystack.mediumra.re/img/dropdown-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/dropdown-1.jpg	(from http://trystack.mediumra.re/)
22:59:09	150201/150201	---M-Z	200	added ('OK')	text/html	etag:867767935b444c4e3865e560738e6977	http://trystack.mediumra.re/home-education.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-education.html	(from http://trystack.mediumra.re/)
22:59:09	112043/112043	---M-Z	200	added ('OK')	text/html	etag:2aec77b6bbe70a8a9244c1786cf2c973	http://trystack.mediumra.re/home-event.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-event.html	(from http://trystack.mediumra.re/)
22:59:10	79175/79175	---M-Z	200	added ('OK')	text/html	etag:3a49cee4e4dccd2c21ef149443b9a9da	http://trystack.mediumra.re/home-fitness.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-fitness.html	(from http://trystack.mediumra.re/)
22:59:10	163893/163893	---M-Z	200	added ('OK')	text/html	etag:84df0a445c61934064ec6c48e498a762	http://trystack.mediumra.re/home-health-insurance.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-health-insurance.html	(from http://trystack.mediumra.re/)
22:59:11	156103/156103	---M-Z	200	added ('OK')	text/html	etag:eb64f09b14586b2c85e25a56e55eee7f	http://trystack.mediumra.re/home-knowledge-base.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-knowledge-base.html	(from http://trystack.mediumra.re/)
22:59:11	102041/102041	---M-Z	200	added ('OK')	text/html	etag:1d0891ec90a5d2f7bcd462c78b7c8c9a	http://trystack.mediumra.re/home-musician.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-musician.html	(from http://trystack.mediumra.re/)
22:59:12	108452/108452	---M-Z	200	added ('OK')	text/html	etag:3c908c05e2ffdd6a91cd9ff98b93e901	http://trystack.mediumra.re/home-nonprofit.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-nonprofit.html	(from http://trystack.mediumra.re/)
22:59:13	147467/147467	---M-Z	200	added ('OK')	text/html	etag:e44ee673a349628b3efa897ba45e1657	http://trystack.mediumra.re/home-political.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-political.html	(from http://trystack.mediumra.re/)
22:59:13	23743/23743	---M-Z	200	added ('OK')	text/html	etag:f28060895da090c4c3764a6c84319641	http://trystack.mediumra.re/home-restaurant.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-restaurant.html	(from http://trystack.mediumra.re/)
22:59:14	152071/152071	---M-Z	200	added ('OK')	text/html	etag:00473975b4103e19fc8ee0ee368b8af9	http://trystack.mediumra.re/home-recruitment.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-recruitment.html	(from http://trystack.mediumra.re/)
22:59:14	131242/131242	---M-Z	200	added ('OK')	text/html	etag:2b4bdb4b095240e720584de91b3c2a51	http://trystack.mediumra.re/home-tourism.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-tourism.html	(from http://trystack.mediumra.re/)
22:59:15	17198/17198	---M-Z	200	added ('OK')	text/html	etag:4ff120487de1e2f8bb4c94e373af6a18	http://trystack.mediumra.re/home-wedding.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-wedding.html	(from http://trystack.mediumra.re/)
22:59:15	104341/104341	---M-Z	200	added ('OK')	text/html	etag:d264d1a4b6b4383adca6e2e479a51fa1	http://trystack.mediumra.re/home-landing-1.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-landing-1.html	(from http://trystack.mediumra.re/)
22:59:16	164091/164091	---M-Z	200	added ('OK')	text/html	etag:133c32a56de8e9ab8bc5c8fc09596884	http://trystack.mediumra.re/home-landing-2.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-landing-2.html	(from http://trystack.mediumra.re/)
22:59:16	19533/19533	---M-Z	200	added ('OK')	text/html	etag:4dae6c90881048c30c08c5bdedd5799c	http://trystack.mediumra.re/home-landing-3.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-landing-3.html	(from http://trystack.mediumra.re/)
22:59:16	148131/148131	---M-Z	200	added ('OK')	text/html	etag:f5823292dcae6e5a94762a5302bf0405	http://trystack.mediumra.re/home-landing-4.html	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/home-landing-4.html	(from http://trystack.mediumra.re/)
